ncessch,name,address,address_secondary,city,state_code,zip_code,school_type,offered_09,total_09,offered_10,total_10,offered_11,total_11,offered_12,total_12,total_students,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,pct_white,pct_black,pct_hispanic,pct_asian,pct_amerindian,pct_nativehawaii,pct_tworaces,is_religious,religious_orientation,accelerated_christian_edu,amer_assoc_christian_sch,assoc_christian_sch_intl,oral_roberts,total_male,pct_to_4yr,region,community_type,locale_code,latitude,longitude,is_christian,is_conservative,religion_5,religion_4,religion,year,overall_niche_letter_grade,rank_within_category
00861456,ST MARY OF THE ASSUMPTION HS,247 S BROAD ST, ,ELIZABETH,NJ,07202,1,1,36,1,37,1,51,1,60,184,12,93,2,39,1,1,36,6.5217391304,50.543478261,1.0869565217,21.195652174,0.5434782609,0.5434782609,19.565217391,1,1,0,0,0,0,108,100,1,2,21,40.658067,-74.215783,1,0,catholic,catholic,catholic,1718,NA,NA
A1702419,FUSION ACADEMY   ENGLEWOOD,10 STEARLING BLVD STE 201,95 NJ 17 N STE 107,ENGLEWOOD,NJ,07631,6,1,5,1,8,1,6,1,10,40,31,1,2,2,0,0,4,77.5,2.5,5,5,0,0,10,0,-1,0,0,0,0,23,50,1,2,21,40.927241,-74.070954,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A9702298,DESERT ACADEMY,7300 OLD SANTA FE TRL, ,SANTA FE,NM,87505,3,1,28,1,15,1,21,1,29,152,87,1,49,2,1,0,12,57.236842105,0.6578947368,32.236842105,1.3157894737,0.6578947368,0,7.8947368421,0,-1,0,0,0,0,83,100,4,4,41,35.62784,-105.918331,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
BB162059,AVENUES THE WORLD SCHOOL,259 10TH AVE,11 E 26TH ST # 17,NEW YORK,NY,10001,1,1,92,1,92,1,92,1,92,1284,1004,105,20,69,2,3,81,78.193146417,8.1775700935,1.5576323988,5.3738317757,0.1557632399,0.2336448598,6.308411215,0,-1,0,0,0,0,638,100,1,1,11,40.74333,-73.987541,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
00926449,BISHOP KEARNEY HIGH SCHOOL,2202 60TH ST, ,BROOKLYN,NY,11204,1,1,67,1,71,1,58,1,68,264,130,50,50,17,12,0,5,49.242424242,18.939393939,18.939393939,6.4393939394,4.5454545455,0,1.8939393939,1,1,0,0,0,0,0,100,1,1,11,40.61627,-73.978121,1,0,catholic,catholic,catholic,1718,NA,NA
00931186,BISHOP MCGANN-MERCY DIOCESAN HIGH SCHOOL,1225 OSTRANDER AVE, ,RIVERHEAD,NY,11901,1,1,94,1,103,1,85,1,110,481,391,9,32,32,0,0,17,81.288981289,1.8711018711,6.6528066528,6.6528066528,0,0,3.5343035343,1,1,0,0,0,0,212,88,1,2,21,40.93617,-72.673511,1,0,catholic,catholic,catholic,1718,NA,NA
A1702599,HORACE MANN SCHOOL,231 W 246TH ST, ,BRONX,NY,10471,1,1,187,1,183,1,187,1,179,1697,1131,110,69,386,0,1,0,66.64702416,6.4820271067,4.0659988214,22.746022392,0,0.0589275192,0,0,-1,0,0,0,0,906,100,1,1,11,40.89361,-73.898081,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A0502538,POUGHKEEPSIE DAY SCHOOL,260 BOARDMAN RD, ,POUGHKEEPSIE,NY,12603,1,1,20,1,25,1,35,1,23,224,162,11,15,29,0,0,7,72.321428571,4.9107142857,6.6964285714,12.946428571,0,0,3.125,0,-1,0,0,0,0,108,100,1,2,21,41.65838,-73.889471,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
00939469,ROCKLAND COUNTRY DAY SCHOOL,34 KINGS HWY, ,CONGERS,NY,10920,3,1,11,1,17,1,17,1,17,114,49,9,2,37,0,0,17,42.98245614,7.8947368421,1.7543859649,32.456140351,0,0,14.912280702,0,-1,0,0,0,0,61,50,1,2,21,41.148512,-73.950532,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A1702694,TREVOR DAY SCHOOL,312 E 95TH ST FRNT 2, ,NEW YORK,NY,10128,1,1,78,1,77,1,86,1,79,774,519,25,54,50,0,0,126,67.054263566,3.2299741602,6.976744186,6.4599483204,0,0,16.279069767,0,-1,0,0,0,0,356,100,1,1,11,40.78298,-73.946771,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
01056289,CATHOLIC CENTRAL SCHOOL,1200 E HIGH ST # 100, ,SPRINGFIELD,OH,45505,1,1,34,1,46,1,38,1,34,499,311,77,55,14,0,0,42,62.324649299,15.430861723,11.022044088,2.8056112224,0,0,8.4168336673,1,1,0,0,0,0,235,86,2,1,13,39.92105,-83.792161,1,0,catholic,catholic,catholic,1718,NA,NA
A1302406,MONTESSORI HIGH SCHOOL AT UNIVERSITY CIRCLE,11025 MAGNOLIA DR, ,CLEVELAND,OH,44106,2,1,27,1,23,1,15,1,21,86,69,7,2,2,0,0,6,80.23255814,8.1395348837,2.3255813953,2.3255813953,0,0,6.976744186,0,-1,0,0,0,0,39,97,2,1,11,41.51496,-81.609351,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A0108649,VILLAGE ACADEMY SCHOOLS,284 S LIBERTY ST, ,POWELL,OH,43065,1,1,19,1,26,1,17,1,21,211,164,2,3,42,0,0,0,77.725118483,0.9478672986,1.4218009479,19.90521327,0,0,0,0,-1,0,0,0,0,119,100,2,2,21,40.15269,-83.072861,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A1702914,WORTHINGTON CHRISTIAN HIGH SCHOOL,6670 WORTHINGTON GALENA RD, ,WORTHINGTON,OH,43085,1,1,96,1,94,1,87,1,87,364,311,33,7,13,0,0,0,85.43956044,9.0659340659,1.9230769231,3.5714285714,0,0,0,1,8,0,0,0,0,185,95,2,2,21,40.0996,-83.010341,1,0,other_christian,other_religion,christian,1718,NA,NA
A1503074,REJOICE CHRISTIAN SCHOOL ELEMENTARY,10701 W 129TH E AVE, ,OWASSO,OK,74055,6,1,44,1,47,1,43,1,38,691,570,14,12,7,88,0,0,82.489146165,2.0260492041,1.7366136035,1.013024602,12.735166425,0,0,1,8,0,0,1,0,433,93,3,2,21,36.31048,-95.82867,1,1,conservative_christian,conservative_christian,christian,1718,NA,NA
A1503112,VALLEY CATHOLIC ELEMENTARY SCHOOL,4420 SW ST MARYS DR, ,BEAVERTON,OR,97078,1,1,89,1,107,1,97,1,84,962,450,19,48,265,0,91,89,46.777546778,1.9750519751,4.9896049896,27.546777547,0,9.4594594595,9.2515592516,1,1,0,0,0,0,521,90,4,2,21,45.48732,-122.830011,1,0,catholic,catholic,catholic,1718,NA,NA
A1592184,JOHN PAUL II CATHOLIC SCHOOL,4211 N OKATIE HWY, ,RIDGELAND,SC,29936,1,1,29,1,50,1,27,1,24,216,147,22,35,5,0,2,5,68.055555556,10.185185185,16.203703704,2.3148148148,0,0.9259259259,2.3148148148,1,1,0,0,0,0,107,83,3,4,41,32.354779,-80.916405,1,0,catholic,catholic,catholic,1718,NA,NA
01264754,MEAD HALL EPISCOPAL SCHOOL,129 PENDLETON ST SW, ,AIKEN,SC,29801,1,1,13,1,14,1,17,1,11,275,247,9,3,13,0,0,3,89.818181818,3.2727272727,1.0909090909,4.7272727273,0,0,1.0909090909,1,14,0,0,0,0,107,100,3,2,21,33.561372,-81.724593,1,0,other_christian,other_religion,christian,1718,NA,NA
A1703313,ST THOMAS MORE HIGH SCHOOL,300 FAIRMONT BLVD, ,RAPID CITY,SD,57701,1,1,72,1,65,1,74,1,70,281,237,1,14,7,13,1,8,84.341637011,0.3558718861,4.9822064057,2.4911032028,4.6263345196,0.3558718861,2.846975089,1,1,0,0,0,0,138,57,2,1,13,44.05925,-103.223611,1,0,catholic,catholic,catholic,1718,NA,NA
A1703348,EVANGELICAL CHRISTIAN SCHOOL OF MEMPHIS INC.,PO BOX 1030,7600 MACON RD,CORDOVA,TN,38088,1,1,67,1,92,1,73,1,100,699,40,49,45,40,0,496,29,5.7224606581,7.0100143062,6.4377682403,5.7224606581,0,70.95851216,4.1487839771,1,8,0,0,1,0,427,80,3,1,11,35.15258,-89.810049,1,1,conservative_christian,conservative_christian,christian,1718,NA,NA
BB170357,CISTERCIAN PREPARATORY SCHOOL,3660 CISTERCIAN RD,1 CISTERCIAN RD,IRVING,TX,75039,3,1,48,1,42,1,43,1,38,345,236,5,53,32,2,1,16,68.405797101,1.4492753623,15.362318841,9.2753623188,0.5797101449,0.2898550725,4.6376811594,1,1,0,0,0,0,345,100,3,1,12,32.855233,-96.92196,1,0,catholic,catholic,catholic,1718,NA,NA
